,DOEID,HHSEX,HHAGE,EMPLOYHH,EDUCATION,SDESCENT,HOUSEHOLDER_RACE,NHSLDMEM,NUMCHILD,MONEYPY,TOTALBTU,TOTALDOL
0,100001,1,65,3,5,0,1,2,0,13,144647.71,2656.89
1,100002,1,79,3,3,0,1,1,0,6,28034.61,975.0
2,100003,2,82,3,4,0,1,1,0,11,30749.71,522.65
3,100004,2,70,3,3,0,1,2,0,10,86765.19,2061.77
4,100005,2,30,1,5,0,1,2,0,16,59126.93,1463.04
5,100006,1,54,4,4,1,1,4,2,15,85400.64,2335.08
6,100007,1,40,4,2,0,1,6,4,11,131875.03,2110.5
7,100008,1,51,4,3,0,2,2,0,8,41446.59,1237.05
8,100009,1,32,1,5,0,1,1,0,14,14512.02,549.8
9,100010,2,58,1,2,0,1,1,0,9,12393.76,625.41
10,100011,1,69,2,3,0,1,1,0,12,58496.25,487.81
11,100012,1,53,1,2,1,1,5,1,7,73867.11,1572.92
12,100013,2,63,1,4,0,1,2,0,13,83979.36,1655.46
13,100014,2,59,4,3,0,1,1,0,2,30595.98,644.85
14,100015,1,64,2,3,0,1,1,0,11,98033.63,3308.86
15,100016,1,22,4,3,0,1,4,0,9,39937.69,2250.57
16,100017,2,84,3,5,0,1,2,0,16,112775.2,3064.28
17,100018,2,83,3,5,0,1,2,0,16,125582.35,1322.89
18,100019,1,28,1,2,1,6,3,2,9,51945.31,1635.06
19,100020,2,20,4,2,0,1,3,0,14,53803.14,1549.78
20,100021,1,66,4,3,0,2,1,0,2,54005.2,1281.99
21,100022,2,51,1,4,0,4,3,1,15,23415.09,933.32
22,100023,1,61,2,5,0,1,2,0,16,79849.84,2922.94
23,100024,1,83,3,4,0,1,2,0,14,33972.06,1142.86
24,100025,2,43,4,2,0,1,1,0,1,121761.49,1579.52
25,100026,1,28,4,3,0,1,5,3,15,43461.64,2348.58
26,100027,2,28,1,3,0,1,4,0,16,124372.24,1967.28
27,100028,2,74,3,4,0,1,2,0,9,97416.98,1230.85
28,100029,1,69,3,3,0,1,2,0,9,53728.89,1747.09
29,100030,2,75,3,5,0,1,2,0,12,65619.52,1900.62
30,100031,1,70,3,5,0,1,2,0,15,113020.98,2731.6
31,100032,1,59,1,3,0,1,2,0,13,80187.87,1535.72
32,100033,1,44,1,4,0,1,4,2,13,91317.7,3497.17
33,100034,1,49,2,3,0,1,2,1,16,217651.23,2812.16
34,100035,1,71,3,4,0,1,3,0,11,108269.17,1482.12
35,100036,1,39,1,5,0,1,2,0,15,70527.71,1394.84
36,100037,1,80,3,5,0,1,2,0,14,108156.16,1271.07
37,100038,1,41,1,5,0,1,4,2,16,194817.9,3840.37
38,100039,2,83,3,2,0,1,1,0,12,22005.56,515.23
39,100040,1,68,3,2,0,1,2,0,11,47211.0,1712.81
40,100041,1,41,1,5,0,1,4,2,16,101510.16,1914.91
41,100042,1,54,1,5,0,1,2,1,14,19492.16,1644.89
42,100043,1,68,3,3,0,1,2,0,9,73291.53,2665.59
43,100044,2,80,3,4,0,1,2,0,13,18345.72,963.68
44,100045,1,35,1,3,0,1,4,2,15,20481.83,1046.1
45,100046,1,75,3,4,0,2,4,1,15,97641.74,3414.81
46,100047,1,43,1,3,0,2,3,2,14,123418.57,2236.22
47,100048,1,40,4,2,0,2,3,2,11,50997.29,1046.0
48,100049,2,36,1,2,0,2,1,0,9,32991.72,1403.65
49,100050,2,51,1,5,1,1,2,0,14,37034.36,1170.92
50,100051,1,68,2,3,0,1,2,0,15,191749.62,3506.79
51,100052,2,60,1,5,0,1,1,0,16,15493.18,638.56
52,100053,1,28,1,5,0,1,2,0,15,59388.6,1328.63
53,100054,1,45,1,4,0,1,2,0,11,109411.63,2309.65
54,100055,2,73,3,5,0,1,2,0,15,182565.43,1945.99
55,100056,1,40,1,3,0,1,2,1,9,31483.35,1102.84
56,100057,2,29,1,2,0,1,3,1,14,79191.86,2567.38
57,100058,2,70,3,4,0,1,2,0,15,79741.19,2576.49
58,100059,1,46,3,4,0,2,2,0,5,26737.37,939.24
59,100060,1,82,3,4,0,1,1,0,9,144172.84,1560.42
60,100061,2,32,1,5,0,4,4,0,2,39065.33,2881.34
61,100062,2,40,1,4,0,1,1,0,12,20237.67,559.35
62,100063,1,60,1,5,0,1,1,0,15,60489.7,2046.49
63,100064,2,62,4,1,0,1,3,0,6,86574.0,3226.06
64,100065,1,29,4,2,0,1,2,0,1,80136.82,1919.22
65,100066,2,56,1,5,0,1,4,2,16,150028.53,4289.55
66,100067,1,41,2,1,0,1,2,1,13,124759.42,3345.44
67,100068,2,75,3,2,0,1,2,0,12,84755.32,2141.35
68,100069,1,37,1,3,0,1,1,0,12,68753.86,1063.9
69,100070,1,66,3,2,0,2,2,0,7,51512.95,1080.38
70,100071,1,50,4,1,0,3,6,4,10,15377.89,579.3
71,100072,1,26,4,4,0,2,3,1,8,23907.61,1260.23
72,100073,2,48,4,3,0,1,5,0,10,88173.27,2422.17
73,100074,2,37,1,3,0,1,3,1,16,54308.63,1800.73
74,100075,2,72,3,3,0,2,2,0,11,230527.06,3530.8
75,100076,1,89,3,2,0,1,1,0,11,34304.28,683.43
76,100077,1,36,1,3,0,1,2,1,13,33198.62,1193.44
77,100078,2,63,3,3,0,4,4,2,9,60472.91,975.05
78,100079,1,53,1,4,0,1,2,0,10,63422.66,2320.65
79,100080,2,46,1,3,1,1,1,0,15,36655.91,894.06
80,100081,2,72,3,2,0,1,1,0,4,21018.22,523.91
81,100082,2,62,3,1,0,1,1,0,3,69578.63,2117.98
82,100083,1,66,3,3,0,1,2,0,11,85079.04,1566.74
83,100084,1,24,1,3,0,1,2,0,13,87999.36,2113.14
84,100085,2,70,3,2,0,1,1,0,14,110564.74,1595.64
85,100086,1,35,2,4,1,1,7,2,15,81478.81,4657.33
86,100087,2,61,4,2,0,1,2,0,3,60206.07,1737.58
87,100088,1,90,3,2,0,1,1,0,6,186898.32,3809.67
88,100089,1,43,1,5,0,6,2,1,9,94189.04,2143.44
89,100090,1,64,1,2,0,1,2,0,11,42959.19,1105.83
90,100091,1,37,1,3,0,1,7,4,13,126940.07,1894.06
91,100092,1,66,4,3,0,1,2,0,16,178071.4,2596.07
92,100093,2,75,3,5,0,1,2,0,14,61584.35,1181.06
93,100094,1,26,2,2,0,1,2,1,1,40857.91,1224.72
94,100095,1,76,3,2,0,1,1,0,7,44976.0,1541.23
95,100096,2,55,1,3,0,1,2,0,14,72186.84,1887.02
96,100097,2,74,3,2,0,1,2,0,16,29988.35,874.62
97,100098,1,53,4,3,0,1,5,3,9,149973.98,2116.06
98,100099,2,74,3,5,0,1,2,0,7,145953.61,2825.75
99,100100,2,73,3,4,0,1,1,0,6,82702.13,3356.34
100,100101,2,39,1,5,0,1,6,4,15,102981.57,1938.03
101,100102,1,64,3,3,0,4,2,0,13,144552.95,2185.08
102,100103,1,70,3,2,0,1,2,0,9,73091.93,1704.92
103,100104,2,53,1,3,1,1,2,0,13,37427.64,933.38
104,100105,1,90,4,2,0,1,1,0,4,138615.89,2874.59
105,100106,1,69,3,4,0,1,2,0,13,97000.68,2192.64
106,100107,2,62,4,5,0,1,2,0,16,148741.54,1644.24
